_id,livraison,livraison_url,name,prix,prix_url,reduction,reduction_url,url
633ee895d18d1510174000b4,,,"Iku X3 - 6.52"" (6 Go -128 Go) Dual Sim-4G - 48MP- 16MP - Mediatek - 5000 mAh- Bleu","1,699.00 Dhs",https://www.jumia.ma/iku-x3-6.52-6-go-128-go-dual-sim-4g-48mp-16mp-mediatek-5000-mah-bleu-48218889.html,,,https://www.jumia.ma/iku-x3-6.52-6-go-128-go-dual-sim-4g-48mp-16mp-mediatek-5000-mah-bleu-48218889.html
633ee895d18d1510174000b5,,,realme 9i MOBILE PHONE RMX3491 128GB+6GB Prism Blue,"2,169.00 Dhs",https://www.jumia.ma/realme-9i-mobile-phone-rmx3491-128gb6gb-prism-blue-48547343.html,4%,https://www.jumia.ma/realme-9i-mobile-phone-rmx3491-128gb6gb-prism-blue-48547343.html,https://www.jumia.ma/realme-9i-mobile-phone-rmx3491-128gb6gb-prism-blue-48547343.html
633ee895d18d1510174000b6,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/nova-y70-675-4gb128gb-midnight-black-dual-card-huawei-mpg1379735.html,"Huawei nova Y70 - 6,75"" - 4GB+128GB - Midnight Black Dual Card","2,099.00 Dhs",https://www.jumia.ma/nova-y70-675-4gb128gb-midnight-black-dual-card-huawei-mpg1379735.html,,,https://www.jumia.ma/nova-y70-675-4gb128gb-midnight-black-dual-card-huawei-mpg1379735.html
633ee895d18d1510174000b7,,,Samsung Galaxy M32 (6G RAM 128 Storage ) 48MP-6000 mAh-Super AMOLED- Bleu,"2,499.00 Dhs",https://www.jumia.ma/galaxy-m32-6g-ram-128-storage-48mp-6000-mah-super-amoled-bleu-samsung-mpg1331233.html,,,https://www.jumia.ma/galaxy-m32-6g-ram-128-storage-48mp-6000-mah-super-amoled-bleu-samsung-mpg1331233.html
633ee895d18d1510174000b8,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html,Samsung Galaxy A03 (4Go Ram - 64Go ROM) - Noir,"1,329.00 Dhs",https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html,7%,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-noir-samsung-mpg1361290.html
633ee895d18d1510174000b9,,,"Iku X3 - 6.52"" (6 Go -128 Go) Dual Sim-4G - 48MP- 16MP - Mediatek - 5000 mAh- Bleu","1,699.00 Dhs",https://www.jumia.ma/iku-x3-6.52-6-go-128-go-dual-sim-4g-48mp-16mp-mediatek-5000-mah-bleu-47939632.html,,,https://www.jumia.ma/iku-x3-6.52-6-go-128-go-dual-sim-4g-48mp-16mp-mediatek-5000-mah-bleu-47939632.html
633ee895d18d1510174000ba,,,Samsung Galaxy M32 (6G RAM 128 Storage ) 48MP-6000 mAh-Super AMOLED- Noir,"2,499.00 Dhs",https://www.jumia.ma/galaxy-m32-6g-ram-128-storage-48mp-6000-mah-super-amoled-noir-samsung-mpg1309233.html,,,https://www.jumia.ma/galaxy-m32-6g-ram-128-storage-48mp-6000-mah-super-amoled-noir-samsung-mpg1309233.html
633ee895d18d1510174000bb,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/infinix-smart-6-x6511b-322-light-sea-green-51008050.html,Infinix SMART 6 X6511B 32+2 - Light Sea Green,"1,189.00 Dhs",https://www.jumia.ma/infinix-smart-6-x6511b-322-light-sea-green-51008050.html,8%,https://www.jumia.ma/infinix-smart-6-x6511b-322-light-sea-green-51008050.html,https://www.jumia.ma/infinix-smart-6-x6511b-322-light-sea-green-51008050.html
633ee895d18d1510174000bc,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/xiaomi-redmi-9a-6.53-2go-32go-13mp5mp-android-gris-1-an-de-garantie-43053997.html,"XIAOMI Redmi 9A 6.53"" (2Go, 32Go) 13MP/5MP Android - Gris - 1 an de garantie","1,169.00 Dhs",https://www.jumia.ma/xiaomi-redmi-9a-6.53-2go-32go-13mp5mp-android-gris-1-an-de-garantie-43053997.html,,,https://www.jumia.ma/xiaomi-redmi-9a-6.53-2go-32go-13mp5mp-android-gris-1-an-de-garantie-43053997.html
633ee895d18d1510174000bd,,,"Vivo Y21 (4+1 - 64) 6,51 Pouces - 5000mAh- Double Sim- Fast Charge 18W - Bleu","1,699.00 Dhs",https://www.jumia.ma/vivo-y21-41-64-651-pouces-5000mah-double-sim-fast-charge-18w-bleu-57082818.html,,,https://www.jumia.ma/vivo-y21-41-64-651-pouces-5000mah-double-sim-fast-charge-18w-bleu-57082818.html
633ee895d18d1510174000be,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html,Samsung Galaxy A03 (4Go Ram - 64Go ROM) - Bleu,"1,329.00 Dhs",https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html,7%,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html,https://www.jumia.ma/galaxy-a03-4go-ram-64go-rom-bleu-samsung-mpg1359079.html
